Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.8915543464820082,0.8904785397138628,0.8929013109077418,0.891688279609732
Logistic Regression,0.8873500680103871,0.8913043478260869,0.8822656443235222,0.8867619639527657
Naive Bayes,0.8657103994064548,0.8788111708941839,0.8483799159040316,0.8633274603574125
Random Forest,0.8527265982440955,0.8575727181544633,0.8459065050704923,0.8516996638027643
